T_K,rho_mol_m3,P_Pa,Z_PR
304.378200,2470.588235,4.549082479942e6,0.727571556706
304.378200,2588.235294,4.694513781286e6,0.716702853744
304.378200,2705.882353,4.834614597958e6,0.706000842425
304.378200,2823.529412,4.969514773543e6,0.695462857362
304.378200,2941.176471,5.099341547876e6,0.685086309822
304.378200,3058.823529,5.224219653598e6,0.674868685454
304.378200,3176.470588,5.344271409389e6,0.664807542120
304.378200,3294.117647,5.459616810007e6,0.654900507793
304.378200,3411.764706,5.570373613304e6,0.645145278551
304.378200,3529.411765,5.676657424334e6,0.635539616642
304.378200,3647.058824,5.778581776703e6,0.626081348624
304.378200,3764.705882,5.876258211280e6,0.616768363579
304.378200,3882.352941,5.969796352385e6,0.607598611395
304.378200,4000.000000,6.059303981581e6,0.598570101109
304.378200,4117.647059,6.144887109167e6,0.589680899326
304.378200,4235.294118,6.226650043484e6,0.580929128680
304.378200,4352.941176,6.304695458132e6,0.572312966372
304.378200,4470.588235,6.379124457189e6,0.563830642751
304.378200,4588.235294,6.450036638532e6,0.555480439952
304.378200,4705.882353,6.517530155343e6,0.547260690590
304.378200,4823.529412,6.581701775875e6,0.539169776501
304.378200,4941.176471,6.642646941577e6,0.531206127526
304.378200,5058.823529,6.700459823630e6,0.523368220348
304.378200,5176.470588,6.755233377999e6,0.515654577373
304.378200,5294.117647,6.807059399032e6,0.508063765645
304.378200,5411.764706,6.856028571712e6,0.500594395814
304.378200,5529.411765,6.902230522600e6,0.493245121137
304.378200,5647.058824,6.945753869546e6,0.486014636516
304.378200,5764.705882,6.986686270220e6,0.478901677576
304.378200,5882.352941,7.025114469523e6,0.471905019777
304.378200,6000.000000,7.061124345938e6,0.465023477564
304.378200,6117.647059,7.094800956865e6,0.458255903542
304.378200,6235.294118,7.126228583005e6,0.451601187692
304.378200,6352.941176,7.155490771824e6,0.445058256615
304.378200,6470.588235,7.182670380166e6,0.438626072799
304.378200,6588.235294,7.207849616048e6,0.432303633928
304.378200,6705.882353,7.231110079679e6,0.426089972210
304.378200,6823.529412,7.252532803764e6,0.419984153730
304.378200,6941.176471,7.272198293113e6,0.413985277842
304.378200,7058.823529,7.290186563614e6,0.408092476572
304.378200,7176.470588,7.306577180600e6,0.402304914054
304.378200,7294.117647,7.321449296646e6,0.396621785990
304.378200,7411.764706,7.334881688846e6,0.391042319130
304.378200,7529.411765,7.346952795592e6,0.385565770777
304.378200,7647.058824,7.357740752901e6,0.380191428314
304.378200,7764.705882,7.367323430319e6,0.374918608754
304.378200,7882.352941,7.375778466438e6,0.369746658304
304.378200,8000.000000,7.383183304057e6,0.364674951962
304.378200,8117.647059,7.389615225025e6,0.359702893123
304.378200,8235.294118,7.395151384790e6,0.354829913208
304.378200,8352.941176,7.399868846690e6,0.350055471312
304.378200,8470.588235,7.403844616017e6,0.345379053876
304.378200,8588.235294,7.407155673882e6,0.340800174365
304.378200,8705.882353,7.409879010911e6,0.336318372978
304.378200,8823.529412,7.412091660804e6,0.331933216363
304.378200,8941.176471,7.413870733778e6,0.327644297360
304.378200,9058.823529,7.415293449941e6,0.323451234753
304.378200,9176.470588,7.416437172595e6,0.319353673039
304.378200,9294.117647,7.417379441534e6,0.315351282223
304.378200,9411.764706,7.418198006328e6,0.311443757614
304.378200,9529.411765,7.418970859648e6,0.307630819647
304.378200,9647.058824,7.419776270648e6,0.303912213722
304.378200,9764.705882,7.420692818431e6,0.300287710050
304.378200,9882.352941,7.421799425633e6,0.296757103519
304.378200,10000.000000,7.423175392144e6,0.293320213578
304.378200,10117.647059,7.424900429007e6,0.289976884130
304.378200,10235.294118,7.427054692504e6,0.286726983445
304.378200,10352.941176,7.429718818474e6,0.283570404082
304.378200,10470.588235,7.432973956889e6,0.280507062833
304.378200,10588.235294,7.436901806699e6,0.277536900675
304.378200,10705.882353,7.441584651005e6,0.274659882740
304.378200,10823.529412,7.447105392556e6,0.271875998295
304.378200,10941.176471,7.453547589628e6,0.269185260748
304.378200,11058.823529,7.460995492290e6,0.266587707651
304.378200,11176.470588,7.469534079113e6,0.264083400732
304.378200,11294.117647,7.479249094327e6,0.261672425936
304.378200,11411.764706,7.490227085472e6,0.259354893476
304.378200,11529.411765,7.502555441574e6,0.257130937909
304.378200,11647.058824,7.516322431875e6,0.255000718217
304.378200,11764.705882,7.531617245148e6,0.252964417907
304.378200,11882.352941,7.548530029632e6,0.251022245125
304.378200,12000.000000,7.567151933632e6,0.249174432784
304.378200,12117.647059,7.587575146794e6,0.247421238710
304.378200,12235.294118,7.609892942120e6,0.245762945800
304.378200,12352.941176,7.634199718740e6,0.244199862195
304.378200,12470.588235,7.660591045486e6,0.242732321471
304.378200,12588.235294,7.689163705305e6,0.241360682845
304.378200,12705.882353,7.720015740553e6,0.240085331397
304.378200,12823.529412,7.753246499210e6,0.238906678306
304.378200,12941.176471,7.788956682055e6,0.237825161105
304.378200,13058.823529,7.827248390854e6,0.236841243951
304.378200,13176.470588,7.868225177586e6,0.235955417914
304.378200,13294.117647,7.911992094784e6,0.235168201284
304.378200,13411.764706,7.958655747004e6,0.234480139889
304.378200,13529.411765,8.008324343498e6,0.233891807438
